num,manufacturer,manufacturerUrl,modelName,productUrl,note,Rsensitivity,Wsensitivity,Z866,Z915,Z953
0x1170,Impinj,http://www.impinj.com/,Monza R6-P,https://support.impinj.com/hc/en-us/articles/204793258-Monza-R6-P-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x110c,Impinj,http://www.impinj.com/,Monza 4E,https://support.impinj.com/hc/en-us/articles/202756908-Monza-4-RFID-Tag-Chip-Datasheet,,0,0,0j,0j,0j
0x1105,Impinj,http://www.impinj.com/,Monza 4QT,https://support.impinj.com/hc/en-us/articles/202756908-Monza-4-RFID-Tag-Chip-Datasheet,,0,0,0j,0j,0j
0x1160,Impinj,http://www.impinj.com/,Monza R6,https://support.impinj.com/hc/en-us/articles/202765328-Monza-R6-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x1130,Impinj,http://www.impinj.com/,Monza 5,https://support.impinj.com/hc/en-us/articles/202756948-Monza-5-Tag-Chip-Datasheet,,0,0,0j,0j,0j
0x1191,Impinj,http://www.impinj.com/,M730,https://support.impinj.com/hc/en-us/articles/360010797539-Impinj-M730-M750-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x1190,Impinj,http://www.impinj.com/,M750,https://support.impinj.com/hc/en-us/articles/360010797539-Impinj-M730-M750-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x1171,Impinj,http://www.impinj.com/,Monza R6-A,https://support.impinj.com/hc/en-us/articles/115001376564-Monza-R6-A-Product-Brief-Datasheet,"Monza R6-A and Monza R6-B share the same tag model number. To distinguish the two tag chip varieties with the TID, the user must refer to the wafer mask revision value in Bits 30h-32h. Monza R6-A has a wafer mask revision value of 000b while Monza R6-B has a wafer mask revision value of 001b.",0,0,0j,0j,0j
0x1171,Impinj,http://www.impinj.com/,Monza R6-B,https://support.impinj.com/hc/en-us/articles/360000690579-Monza-R6-B-Product-Brief-Datasheet,"Monza R6-A and Monza R6-B share the same tag model number. To distinguish the two tag chip varieties with the TID, the user must refer to the wafer mask revision value in Bits 30h-32h. Monza R6-A has a wafer mask revision value of 000b while Monza R6-B has a wafer mask revision value of 001b.",0,0,0j,0j,0j
0x1114,Impinj,http://www.impinj.com/,Monza 4i,https://support.impinj.com/hc/en-us/articles/202756908-Monza-4-RFID-Tag-Chip-Datasheet,,0,0,0j,0j,0j
0x1100,Impinj,http://www.impinj.com/,Monza 4D,https://support.impinj.com/hc/en-us/articles/202756908-Monza-4-RFID-Tag-Chip-Datasheet,,0,0,0j,0j,0j
0x1150,Impinj,http://www.impinj.com/,Monza X-8K,https://support.impinj.com/hc/en-us/articles/202756868-Monza-X-8K-Dura-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x1140,Impinj,http://www.impinj.com/,Monza X-2K,https://support.impinj.com/hc/en-us/articles/202756848-Monza-X-2K-Dura-Product-Brief-Datasheet,,0,0,0j,0j,0j
0x2000,Texas Instruments ,http://www.ti.com/,,,,0,0,0j,0j,0j
0x3411,Alien Technology,http://www.alientechnology.com/,Higgs 2,,,0,0,0j,0j,0j
0x3412,Alien Technology,http://www.alientechnology.com/,Higgs 3,,,0,0,0j,0j,0j
0x3414,Alien Technology,http://www.alientechnology.com/,Higgs 4,,,0,0,0j,0j,0j
0x3811,Alien Technology,http://www.alientechnology.com/,Higgs EC,,,0,0,0j,0j,0j
0x4000,Intelleflex ,http://www.intelleflex.com/,,,,0,0,0j,0j,0j
0x5000,Atmel ,http://www.atmel.com/,,,,0,0,0j,0j,0j
0x6001,NXP Semiconductors ,http://www.nxp.com/#/homepage,G2,,,0,0,0j,0j,0j
0x6003,NXP Semiconductors ,http://www.nxp.com/#/homepage,G2 XM,,,0,0,0j,0j,0j
0x6004,NXP Semiconductors ,http://www.nxp.com/#/homepage,G2 XL,,,0,0,0j,0j,0j
0x6806,NXP Semiconductors ,https://www.nxp.com/docs/en/data-sheet/SL3S1203_1213.pdf,G2 iL,,,-27,-27,25-j237j,23-j224,21-j216
0x6807,NXP Semiconductors ,https://www.nxp.com/docs/en/data-sheet/SL3S1203_1213.pdf,G2 iL+,,,-27,-27,25-j237j,23-j224,21-j216
0x680a,NXP Semiconductors ,http://www.nxp.com/#/homepage,G2 iM,,,0,0,0j,0j,0j
0x680b,NXP Semiconductors ,http://www.nxp.com/#/homepage,G2 iM+,,,0,0,0j,0j,0j
0x6810,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 7,,,0,0,0j,0j,0j
0x6811,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 7m,,,0,0,0j,0j,0j
0x6812,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 7xm,,,0,0,0j,0j,0j
0x6d12,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 7xm,,,0,0,0j,0j,0j
0x6d92,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 7xm+,,,0,0,0j,0j,0j
0x6c12,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE DNA TRACK,,,0,0,0j,0j,0j
0x6f92,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE DNA,,,0,0,0j,0j,0j
0x6894,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE 8,https://www.nxp.com/products/rfid-nfc/ucode-uhf/ucode-8-8m:SL3S1205-15?&fsrch=1&sr=2&pageNum=1,,0,0,0j,0j,0j
0x6994,NXP Semiconductors ,http://www.nxp.com/#/homepage,UCODE8m,https://www.nxp.com/products/rfid-nfc/ucode-uhf/ucode-8-8m:SL3S1205-15?&fsrch=1&sr=2&pageNum=1,,0,0,0j,0j,0j
0x7240,ST Microelectronics ,http://www.st.com/,XRAG2,,,0,0,0j,0j,0j
